stand,age,plot,status,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
BF,45,BF_8,mixed,ltreb_bf_8.CSV,11.63909431,3.368420572,11.34625715,12.1050038,40,11.75,7.465428342,3.966203377,19.924,15.095225,6.435147342,2.997737033,0,0,0.655952381,69.52941595,6.120813915,5.662601254,3.430914227,10.04938193,4.336612183,9.723065428,90.27693457,19.924,535.45,3.425,0.883676927,15.26613051
BP36,81,BP_36,mixed,ltreb_bp_36_1.CSV,9.75376453,3.273923775,10.71857688,10.27553088,40,8.825,5.530447209,4.651371455,19.795,15.203325,6.271544656,2.647154425,0,0,0.611904762,431.5758927,15.52979351,13.79860161,3.92484811,7.497326779,4.822239618,5.576055761,94.42394424,19.795,426.95,3.3,0.908230759,16.86920635
BP36,81,BP_36,mixed,ltreb_bp_36_2.CSV,9.505193804,2.977971444,8.868313923,9.949638955,40,8.25,7.370657179,4.319009858,19.063,14.42875,6.760581336,3.129166848,0,0,0.5825,268.2493265,11.71484429,11.44603642,3.846149268,7.408792766,4.047451713,2.993268726,97.00673127,19.063,523.8,3.9,0.893358436,16.35718475
BP54,63,BP_54,mixed,ltreb_bp_54_1.CSV,10.55261849,3.697711425,13.67306978,11.16642288,40,9.95,6.317927722,5.08365909,18.262,14.5894,4.814597677,2.354775342,0,0,0.661842105,203.3133933,9.648455207,10.49860493,2.654030914,9.412280222,4.745461519,16.45666285,83.54333715,18.262,523.925,2.85,0.834646647,13.09716439
BP54,63,BP_54,mixed,ltreb_bp_54_2.CSV,8.499648412,3.231140161,10.44026674,9.078726959,40,7.475,7.237805834,4.545990062,16.692,13.025525,6.375557417,3.194191911,0,0,0.640277778,175.2534254,10.09318361,8.566275157,3.211393954,6.969113022,4.344442639,6.8220691,93.1779309,16.692,511.7,3.5,0.910834949,14.20304891
BP80,37,BP_80,mixed,ltreb_bp_80_1.CSV,9.001580162,2.215603992,4.908901049,9.263618296,40,8.725,4.78209874,3.088336205,15.125,12.1493,6.152508646,2.592908177,0,0,0.5109375,38.18325503,4.918322786,3.74076944,2.288565133,7.719154817,3.014850497,7.244573483,92.75542652,15.125,542.6,2.625,0.848356925,12.48489869
BP80,37,BP_80,mixed,ltreb_bp_80_2.CSV,7.730231163,2.255592534,5.08769768,8.044686387,40,7.075,5.117624478,3.157307357,15.388,11.12315,5.991340704,2.39174899,0,0,0.55625,30.08959806,4.758569919,2.728664579,2.029493881,6.952367428,3.015775558,7.471673326,92.52832667,15.388,456.85,2.5,0.802761709,11.47311522
BP80,37,BP_80,mixed,ltreb_bp_80_3.CSV,9.334756176,2.369850478,5.616191287,9.623588695,40,9.05,6.062382071,3.921995829,17.453,13.42345,5.644738249,2.490803332,0,0,0.586111111,119.393006,8.15043995,7.277591267,1.646146829,7.500966911,3.570549058,10.36411864,89.63588136,17.453,518.5,2.625,0.851237265,13.51247718
PSA1972,45,PSA1972_1,mixed,psa_1972_1.CSV,9.007892405,2.428441441,5.89732783,9.321588932,40,7.9,6.593633957,4.162100062,17.232,14.135525,6.152465014,2.479703484,0,0,0.529166667,135.5918227,9.335005014,6.960567797,1.79800703,7.63485077,3.407455077,6.058146025,93.94185398,17.232,492.85,2.25,0.826509041,13.83423619
PSA1972,45,PSA1972_2,mixed,psa_1972_2.CSV,9.409731887,2.249788986,5.06155048,9.668405551,40,8.375,7.304294203,3.542326485,18.736,14.303975,6.066381235,2.594034914,0,0,0.56125,89.51802661,7.23436401,6.097704812,2.008159682,8.086043492,3.388018189,8.601242236,91.39875776,18.736,503.25,2.525,0.793444217,13.96045326
PSA1972,45,PSA1972_3,mixed,psa_1972_3.CSV,8.304537572,3.666807419,13.44547665,9.059507934,40,6.975,8,4.347044383,16.934,12.41435,6.08421998,2.780945215,0,0,0.625,126.8378424,7.935287638,7.991811592,4.344909615,6.916935644,4.697504045,7.349219739,92.65078026,16.934,474.325,3.95,0.926957632,14.75708502
RP32,85,RP32_1,natural,rp32_1.CSV,13.68345424,3.596617171,12.93565507,14.13680246,40,12.825,4.823346449,5.922090327,23.434,19.993425,6.709932754,2.338986129,0,0,0.566666667,517.2874953,16.91811746,15.20081567,2.299903319,12.00167291,5.202697719,3.173649424,96.82635058,23.434,457.8,2.675,0.825432517,17.49454104
RP32,85,RP32_2,natural,rp32_2.CSV,14.84433617,3.984227707,15.87407042,15.35680744,40,15.45,6.01955339,5.909358072,23.412,20.439175,6.77964036,2.338720744,0,0,0.570833333,584.5040603,18.71983755,15.29940333,3.316016237,11.9281655,5.698409977,3.714771735,96.28522827,23.412,543.9,3.325,0.893688268,19.59187442
RP32,85,RP32_3,natural,rp32_3.CSV,11.51110057,4.106263496,16.8613999,12.20431486,40,11.375,4.974668077,5.304509451,21.929,16.58035,5.915297079,2.539519193,0,0,0.638043478,212.0278119,10.83049048,9.732845825,4.017179177,9.505350509,4.908751034,9.726674999,90.273325,21.929,460.2,3.95,0.916737865,18.60865917
RP47,70,RP47_1,natural,rp60_1.CSV,12.96956328,1.998450129,3.993802918,13.11882348,40,13.15,5.275004787,2.833408747,17.91,16.2292,6.692299038,2.518782498,0,0,0.540789474,78.38351049,7.200373184,5.151517883,1.95543793,10.7230981,3.566265903,4.018726001,95.981274,17.91,475.4,2.15,0.751236642,13.28979815
RP47,70,RP47_2,natural,rp60_2.CSV,12.55525005,1.426478263,2.034840234,12.63401255,40,12.6,7.039451424,2.436895882,17.365,15.55115,6.103744758,2.80364418,0,0,0.576388889,34.24412658,4.626538961,3.583191849,1.154406709,11.17103525,2.639238182,5.235015532,94.76498447,17.365,491.05,1.925,0.640710082,10.66678133
RP47,70,RP_47_3,natural,rp60_3.CSV,11.81561613,2.543974183,6.471804641,12.07968518,40,11.25,4.772044812,4.377975179,19.176,16.305575,6.761853289,2.67556304,0,0,0.5925,162.3232431,9.863422485,8.064498741,2.691914969,9.929129183,3.855533975,2.680527952,97.31947205,19.176,490.7,2.6,0.840048019,14.12493355
