group,stand,plot,number_living,number_species,plot_area,age,simpson,shannon,rugosity,annual_nppw,annual_nppw_ha,annual_c_ha,fpar,lue,,,,,,,,,,
Cut only,PSA,PSA3,167,7,0.1,45,0.529,1.1372764,7.659117951,236.773,2367.73,1160.19,0.901,1287.669256,,,,,,,,,,
Red pine,RP32,RP32_1,153,5,0.1,85,0.521,1.066809921,14.58746431,203.183,2031.83,995.6,0.958,1039.248434,,,,,,,,,,
Red pine,RP32,RP32_2,117,5,0.1,85,0.637,1.209349833,11.60363619,173.599,1735.99,850.64,0.879,967.7360637,,,,,,,,,,
Red pine,RP32,RP32_3,104,5,0.1,85,0.69,1.310137816,8.793217397,159.32,1593.2,780.67,0.792,985.6944444,,,,,,,,,,
Red pine,RP47,RP47_1,134,4,0.1,70,0.378,0.737369888,5.312164767,170.339,1703.39,834.66,0.852,979.6478873,,,,,,,,,,
Red pine,RP47,RP47_2,144,5,0.1,70,0.307,0.646343117,2.619159308,138.016,1380.16,676.28,0.913,740.7228916,,,,,,,,,,
Red pine,RP47,RP47_3,142,5,0.1,70,0.268,0.587983997,7.185734092,136.253,1362.53,667.64,0.842,792.9216152,,,,,,,,,,
Red pine,RP73,RP73_1,44,3,0.1,44,0.385,0.688917085,2.594621238,110.395,1103.95,540.94,0.806,671.1414392,,,,,,,,,,
Red pine,RP73,RP73_2,37,3,0.1,44,0.203,0.463655038,2.303270764,95.291,952.91,466.93,0.651,717.250384,,,,,,,,,,
Red pine,RP73,RP73_3,40,3,0.1,44,0.276,0.574419727,2.925702222,111.942,1119.42,548.52,0.758,723.6411609,,,,,,,,,,
Red pine,RP97,RP97_1,45,4,0.1,20,0.283,0.58089036,0.087953506,95.732,957.32,469.09,0.434,1080.852535,,,,,,,,,,
Red pine,RP97,RP97_2,62,4,0.1,20,0.289,0.586633304,0.680152805,169.878,1698.78,832.4,0.4,2081,,,,,,,,,,
Red pine,RP97,RP97_3,50,5,0.1,20,0.46,0.905536098,2.327822445,77.158,771.58,378.07,0.26,1454.115385,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
