"","plot","stand","X","anpp","anpp.c.ha","age","status","filename","mean.height","height.2","mean.height.var","mean.height.rms","transect.length","mode.el","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","mean.peak.vai","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","mean.return.ht","sd.return.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl","fpar","fapar","lue"
"1","AC103","AC",1,324.736080041199,1623.68040020599,106,"mixed","ac_103.CSV",12.47327471,4.271592173,18.24649969,13.16133979,30,12.86666667,5.673835063,5.870636066,23.236,17.79333333,5.747046074,2.593191618,0,0,0.709722222,634.8993891,17.36876524,18.25446201,4.906960442,11.52631254,6.096508791,11.41111657,88.58888343,23.236,611.2333333,3.5,0.938043524,19.26819585,0.914065160631173,1610.4,1.00824664692374
"2","AC104","AC",2,281.980461827551,1409.90230913775,106,"mixed","ac_104.CSV",9.649963492,4.152451046,17.24284969,10.4890318,50,8.78,8,4.765051341,21.434,13.5982,6.957195666,3.549082722,3,0.06,0.714545455,216.0864771,10.53935984,10.24735924,6.246563666,8.389408032,4.336519734,9.890407986,90.10959201,21.434,368.76,4.52,0.941306928,17.57504456,0.8763156397565,1540.3,0.915342666453126
"3","AC107","AC",3,193.101463221025,965.507316105126,106,"mixed","ac_107.CSV",9.253021508,3.553826851,12.62968529,9.896077515,40,8.325,5.814712502,4.811244841,22.47,15.3999,6.452724467,2.779166325,0,0,0.65,401.0593202,13.74874003,14.56130034,4.936959719,7.315116415,4.903947337,5.907529723,94.09247028,22.47,473.25,3.325,0.910876471,18.24137931,0.839332695527386,1403.7,0.687830245853905
"4","BF7","BF",4,294.200683224278,1471.00341612139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913520560595361,1681.7,0.874712146114878
"5","BF8","BF",5,325.958918039126,1629.79459019563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903446752098984,1635.6,0.996450593174144
"6","BP36#1","BP36",6,303.077199021864,1515.38599510932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BP36#2","BP36",7,291.062071406968,1455.31035703484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BP54#1","BP54",8,282.668551608748,1413.34275804374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BP54#2","BP54",9,270.516226822871,1352.58113411436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BP80#1","BP80",10,326.208396644664,1631.04198322332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BP80#2","BP80",11,223.091924359038,1115.45962179519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BP80#3","BP80",12,299.69542811026,1498.4771405513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BP98#1","BP98",13,98.0754707271381,490.377353635691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BS40E","BS40",14,153.418159706084,767.090798530421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891073391134449,1459.4,0.52562066502016
"15","BS40F","BS40",15,205.871601481855,1029.35800740927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873814952598104,1456.3,0.70683101518181
"16","BS40X","BS40",16,227.090464653116,1135.45232326558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857276337304368,1468,0.773468885058297
"17","BS42A","BS42",17,138.529048655264,692.645243276319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893625475393086,1574.3,0.43997029999131
"18","BS42A","BS42",17,138.529048655264,692.645243276319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857197844495766,1558.9,0.444316661284444
"19","BS42B","BS42",18,129.158456994138,645.792284970688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881643866337744,1572.5,0.410678718582314
"20","BS42C","BS42",19,147.242689158604,736.213445793019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819030580868787,1465,0.502534775285337
"21","BS42C","BS42",19,147.242689158604,736.213445793019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832737385776718,1467.2,0.501781247132646
"22","CP1","CP",20,384.486870945468,1922.43435472734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936223904565267,1632.4,1.17767358167566
"23","CP2","CP",21,248.03791894614,1240.1895947307,37,"mixed","cp_2.CSV",12.39968442,7.490913905,56.11379113,14.43825197,40,11.6,7.389305832,9.497098072,29.523,18.904875,7.573457639,3.521148908,0,0,0.747580645,1647.75379,27.35480704,29.99113738,9.739801831,8.579622643,7.851389688,0.674810937,99.32518906,29.523,429.875,7.15,0.932638105,23.0461068,0.790858568674152,1394.6,0.889279789710813
"24","CP3","CP",22,524.875781730484,2624.37890865242,37,"mixed","cp_3.CSV",11.51792429,7.404273057,54.82325951,13.6424066,40,9.7,7.165452829,8.832341502,30.172,20.726625,6.573637146,3.231889322,0,0,0.764516129,2545.746774,31.08553998,39.74211844,8.151981007,9.282751511,8.711142801,5.813760707,94.18623929,30.172,452.5,6.675,0.928454244,22.50897571,0.884233737596472,1523.8,1.72225942292454
"25","DNR1","DNR",23,406.91411829968,2034.5705914984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","DNR2","DNR",24,93.6390501836663,468.195250918332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","DNR3","DNR",25,102.60657165324,513.032858266202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PSA1","PSA",26,317.743827656064,1588.71913828032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PSA2","PSA",27,7.71904691223315,38.5952345611657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","RP32_1","RP32",28,393.340998604641,1966.7049930232,85,"natural","rp32_1.CSV",13.68345424,3.596617171,12.93565507,14.13680246,40,12.825,4.823346449,5.922090327,23.434,19.993425,6.709932754,2.338986129,0,0,0.566666667,517.2874953,16.91811746,15.20081567,2.299903319,12.00167291,5.202697719,3.173649424,96.82635058,23.434,457.8,2.675,0.825432517,17.49454104,NA,NA,NA
"31","RP32_2","RP32",29,445.92116088583,2229.60580442915,85,"natural","rp32_2.CSV",14.84433617,3.984227707,15.87407042,15.35680744,40,15.45,6.01955339,5.909358072,23.412,20.439175,6.77964036,2.338720744,0,0,0.570833333,584.5040603,18.71983755,15.29940333,3.316016237,11.9281655,5.698409977,3.714771735,96.28522827,23.412,543.9,3.325,0.893688268,19.59187442,0.87719101752814,1566.4,1.42339492111156
"32","RP32_3","RP32",30,174.448404085039,872.242020425194,85,"natural","rp32_3.CSV",11.51110057,4.106263496,16.8613999,12.20431486,40,11.375,4.974668077,5.304509451,21.929,16.58035,5.915297079,2.539519193,0,0,0.638043478,212.0278119,10.83049048,9.732845825,4.017179177,9.505350509,4.908751034,9.726674999,90.273325,21.929,460.2,3.95,0.916737865,18.60865917,0.790966799617999,1408,0.619490071324712
