"","plot","species","plot.rgr"
"1","RPL01","PIRE",0.0323587767679092
"2","RPL02","PIRE",0.0563509342322927
"3","RPL02","PRPE",0.0526348601276039
"4","RPL03","PIRE",0.0377255391036978
"5","RPL04","PIRE",0.0187709750423847
"6","RPL05","PIRE",0.012685117773322
"7","RPL06","PIRE",0.0144988201563511
"8","RPL07","PIRE",0.0139811348204828
"9","RPL08","PIRE",0.0145051442205862
"10","RPL09","PIRE",0.0143577958634105
"11","RPL10","PIRE",0.00849728704121867
"12","RPL11","PIRE",0.00731206350028865
"13","RPL11","QURU",0.0338684206070949
"14","RPL12","PIRE",0.00628252701713231
"15","RPL12","QURU",0.0329435600775615
"16","RPL13","PIRE",0.0161887682362424
"17","RPL14","PIRE",0.0146542551975953
"18","RPL15","PIRE",0.0142996027890606
