stand,plot,tag,species,status,dbh17
AC,AC103,1380,PIST,O,8.9
AC,AC103,1356,PIST,O,9.6
AC,AC103,1378,PIST,O,9.9
AC,AC103,1341,PIST,O,10.6
AC,AC103,1394,PIST,O,14.2
AC,AC103,1346,PIST,O,14.4
AC,AC103,1370,PIST,O,15.1
AC,AC103,1358,ACRU,O,7.9
AC,AC103,1362,ACRU,O,7.9
AC,AC103,1345,ACRU,O,8.4
AC,AC103,1351,ACRU,O,8.4
AC,AC103,1391,ACRU,O,8.5
AC,AC103,1392,ACRU,O,8.7
AC,AC103,1385,ACRU,O,9.1
AC,AC103,1374,ACRU,O,9.2
AC,AC103,1386,ACRU,O,9.3
AC,AC103,1393,ACRU,O,9.4
AC,AC103,1365,PIST,C,17.6
AC,AC103,1361,ACRU,O,9.7
AC,AC103,1347,ACRU,O,9.9
AC,AC103,1357,ACRU,O,9.9
AC,AC103,1396,ACRU,O,10.2
AC,AC103,1339,PIST,O,17.8
AC,AC103,1400,ACRU,O,10.4
AC,AC103,1379,ACRU,O,10.5
AC,AC103,1373,ACRU,O,10.7
AC,AC103,1376,ACRU,O,11.8
AC,AC103,1342,PIRE,O,18.7
AC,AC103,1363,PIST,O,18.5
AC,AC103,1382,ACRU,O,12.7
AC,AC103,1381,ACRU,O,13.4
AC,AC103,1352,PIST,O,19.4
AC,AC103,1397,POGR,C,22.2
AC,AC103,1399,POGR,D,24.1
AC,AC103,1355,POGR,D,28.4
AC,AC103,1348,QURU,O,15.4
AC,AC103,1366,POGR,D,28.9
AC,AC103,1344,POGR,D,33.5
AC,AC103,1340,QURU,O,20.2
AC,AC103,1343,POGR,D,34.5
AC,AC103,1337,POGR,D,36.3
AC,AC103,1333,QURU,C,24.3
AC,AC103,1383,POGR,D,40.3
AC,AC103,1338,QURU,C,25.9
AC,AC103,1384,POGR,D,42.7
AC,AC103,1353,POGR,D,43.5
AC,AC103,1390,PIST,C,29.1
AC,AC103,1335,QURU,D,29.9
AC,AC103,1388,QURU,D,30.6
AC,AC103,1395,QURU,D,31.9
AC,AC103,1349,QURU,D,34.8
AC,AC103,1350,QURU,D,34.9
AC,AC103,1369,QURU,D,35.1
AC,AC103,1336,QURU,D,36
AC,AC103,1359,QURU,D,36.1
AC,AC103,1368,QURU,D,37
AC,AC103,1387,QURU,D,37.5
AC,AC103,1367,QURU,D,38.5
AC,AC103,1389,QURU,D,45.5
AC,AC104,1266,PIST,O,9.6
AC,AC104,1269,PIST,O,10.4
AC,AC104,1316,PIST,O,12
AC,AC104,1274,PIST,O,12.5
AC,AC104,1272,PIST,O,13.3
AC,AC104,1332,PIST,O,13.6
AC,AC104,1294,PIRE,O,10.4
AC,AC104,1261,PIST,O,14.3
AC,AC104,1264,PIRE,O,12.4
AC,AC104,1270,PIST,O,15.1
AC,AC104,1276,PIST,O,16
AC,AC104,1287,PIST,O,16
AC,AC104,1331,ACRU,O,8.2
AC,AC104,1260,PIST,C,17.1
AC,AC104,1307,PIRE,O,16.7
AC,AC104,1312,PIST,C,17.7
AC,AC104,1258,ACRU,O,10.3
AC,AC104,1324,ACRU,O,10.7
AC,AC104,1330,ACRU,O,10.8
AC,AC104,1308,PIST,O,18.2
