"","plot","stand","anpp","anpp.c.ha"
"1","AC103","AC",324.736080041199,1623.68040020599
"2","AC104","AC",281.980461827551,1409.90230913775
"3","AC107","AC",193.101463221025,965.507316105126
"4","BF7","BF",294.200683224278,1471.00341612139
"5","BF8","BF",325.958918039126,1629.79459019563
"6","BP36#1","BP36",303.077199021864,1515.38599510932
"7","BP36#2","BP36",291.062071406968,1455.31035703484
"8","BP54#1","BP54",282.668551608748,1413.34275804374
"9","BP54#2","BP54",270.516226822871,1352.58113411436
"10","BP80#1","BP80",326.208396644664,1631.04198322332
"11","BP80#2","BP80",223.091924359038,1115.45962179519
"12","BP80#3","BP80",299.69542811026,1498.4771405513
"13","BP98#1","BP98",98.0754707271381,490.377353635691
"14","BS40E","BS40",153.418159706084,767.090798530421
"15","BS40F","BS40",205.871601481855,1029.35800740927
"16","BS40X","BS40",227.090464653116,1135.45232326558
"17","BS42A","BS42",138.529048655264,692.645243276319
"18","BS42B","BS42",129.158456994138,645.792284970688
"19","BS42C","BS42",147.242689158604,736.213445793019
"20","CP1","CP",384.486870945468,1922.43435472734
"21","CP2","CP",248.03791894614,1240.1895947307
"22","CP3","CP",524.875781730484,2624.37890865242
"23","DNR1","DNR",406.91411829968,2034.5705914984
"24","DNR2","DNR",93.6390501836663,468.195250918332
"25","DNR3","DNR",102.60657165324,513.032858266202
"26","PSA1","PSA",317.743827656064,1588.71913828032
"27","PSA2","PSA",7.71904691223315,38.5952345611657
"28","RP32_1","RP32",393.340998604641,1966.7049930232
"29","RP32_2","RP32",445.92116088583,2229.60580442915
"30","RP32_3","RP32",174.448404085039,872.242020425194
"31","RP47_1","RP47",245.252496226313,1226.26248113157
"32","RP47_2","RP47",166.753668332414,833.768341662072
"33","RP47_3","RP47",157.704113615973,788.520568079863
"34","RP73_1","RP73",322.246157974781,1611.23078987391
"35","RP73_2","RP73",384.376859616308,1921.88429808154
"36","RP73_3","RP73",395.607870202028,1978.03935101014
"37","RP97_1","RP97",235.608227351548,1178.04113675774
"38","RP97_2","RP97",344.38402535085,1721.92012675425
"39","RP97_3","RP97",144.974775804077,724.873879020387
