stand,plot,species,dbh_cm,five_yr_inc_mm
RPL93,RPL01,PIRE,7.3,1.877
RPL93,RPL01,PIRE,9,1.931
RPL93,RPL01,PIRE,8.4,1.84
RPL93,RPL01,PIRE,7.3,1.501
RPL93,RPL01,PIRE,11.2,5.896
RPL93,RPL01,PIRE,14.9,6.708
RPL93,RPL01,PIRE,14.7,6.119
RPL93,RPL01,PIRE,21.8,9.075
RPL93,RPL01,PIRE,18.5,6.582
RPL93,RPL01,PIRE,19.9,9.543
RPL53,RPL07,PIRE,10,0.622
RPL53,RPL07,PIRE,19.2,3.497
RPL53,RPL07,PIRE,22.3,1.985
RPL53,RPL07,PIRE,20.2,2.192
RPL53,RPL07,PIRE,23,5.679
RPL53,RPL07,PIRE,24.6,2.583
RPL53,RPL07,PIRE,28.8,5.629
RPL53,RPL07,PIRE,28.2,3.771
RPL53,RPL07,PIRE,27.5,4.428
RPL53,RPL07,PIRE,27.7,5.465
RPL53,RPL08,PIRE,18.1,2.734
RPL53,RPL08,PIRE,24.4,2.946
RPL53,RPL08,PIRE,21.5,3.964
RPL53,RPL08,PIRE,24.3,3.638
RPL53,RPL08,PIRE,24.8,3.19
RPL53,RPL08,PIRE,29.6,5.368
RPL53,RPL08,PIRE,25.2,4.328
RPL53,RPL08,PIRE,26.9,3.365
RPL53,RPL08,PIRE,26.5,4.157
RPL53,RPL08,PIRE,29.3,4.822
RPL53,RPL09,PIRE,17.9,4.236
RPL53,RPL09,PIRE,24.5,3.887
RPL53,RPL09,PIRE,24.9,3.044
RPL53,RPL09,PIRE,21.8,5.121
RPL53,RPL09,PIRE,23.6,2.717
RPL53,RPL09,PIRE,24,3.36
RPL53,RPL09,PIRE,26.8,2.656
RPL53,RPL09,PIRE,26.1,3.846
RPL53,RPL09,PIRE,28,3.721
RPL53,RPL09,PIRE,28.3,3.778
RPL58,RPL04,PIRE,9.8,3.353
RPL58,RPL04,PIRE,18.3,2.694
RPL58,RPL04,PIRE,19.7,3.599
RPL58,RPL04,PIRE,24.6,2.899
RPL58,RPL04,PIRE,23.1,5.965
RPL58,RPL04,PIRE,23.9,4.524
RPL58,RPL04,PIRE,24.5,5.127
RPL58,RPL04,PIRE,21.07,2.323
RPL58,RPL04,PIRE,26,5.152
RPL58,RPL04,PIRE,26.8,6.677
RPL58,RPL05,PIRE,20.5,2.726
RPL58,RPL05,PIRE,22.5,2.019
RPL58,RPL05,PIRE,22.1,2.189
RPL58,RPL05,PIRE,23.1,3.737
RPL58,RPL05,PIRE,26.8,5.219
RPL58,RPL05,PIRE,27.7,5.193
RPL58,RPL05,PIRE,28.5,2.098
RPL58,RPL05,PIRE,25.1,4.148
RPL58,RPL05,PIRE,28.1,3.103
RPL58,RPL05,PIRE,31,3.86
RPL58,RPL06,PIRE,7.2,1.123
RPL58,RPL06,PIRE,11,1.454
RPL58,RPL06,PIRE,22.6,3.889
RPL58,RPL06,PIRE,20.3,3.026
RPL58,RPL06,PIRE,26.1,3.512
RPL58,RPL06,PIRE,28.9,4.279
RPL58,RPL06,PIRE,29.8,6.632
RPL58,RPL06,PIRE,29.4,3.344
RPL58,RPL06,PIRE,28.5,5.222
RPL58,RPL06,PIRE,31.2,3.828
RPL48,RPL10,PIRE,13.7,0.898
RPL48,RPL10,PIRE,15.1,0.651
RPL48,RPL10,PIRE,23.5,2.596
RPL48,RPL10,PIRE,22.5,2.033
RPL48,RPL10,PIRE,24.5,2.924
RPL48,RPL10,PIRE,28.8,3.541
RPL48,RPL10,PIRE,25.6,2.162
RPL48,RPL10,PIRE,29.8,2.743
RPL48,RPL10,PIRE,25.2,1.576
RPL48,RPL10,PIRE,32.9,3.294
RPL48,RPL11,PIRE,9.8,0.635
RPL48,RPL11,PIRE,24.9,2.267
RPL48,RPL11,PIRE,24.6,1.574
RPL48,RPL11,PIRE,22,2.091
RPL48,RPL11,PIRE,27.2,1.667
RPL48,RPL11,PIRE,26.5,2.411
RPL48,RPL11,PIRE,26.4,1.087
RPL48,RPL11,PIRE,34,2.468
RPL48,RPL11,PIRE,34.4,3.705
RPL48,RPL11,QURU,7.7,4.195
RPL48,RPL11,QURU,14.9,3.005
RPL48,RPL12,PIRE,14.3,0.772
RPL48,RPL12,PIRE,17,0.963
RPL48,RPL12,PIRE,17.5,0.76
RPL48,RPL12,PIRE,22.5,1.475
RPL48,RPL12,PIRE,21.9,1.755
RPL48,RPL12,PIRE,21.6,0.74
RPL48,RPL12,PIRE,26,1.387
RPL48,RPL12,PIRE,27.7,3.145
RPL48,RPL12,PIRE,26,0.998
RPL48,RPL12,PIRE,32.5,3.826
RPL48,RPL12,QURU,6.2,2.643
RPL48,RPL12,QURU,34.8,10.137
RPL65,RPL13,PIRE,12,2.131
RPL65,RPL13,PIRE,16.8,1.27
RPL65,RPL13,PIRE,19.8,4.557
RPL65,RPL13,PIRE,24.6,4.529
RPL65,RPL13,PIRE,21.5,4.097
RPL65,RPL13,PIRE,23.5,3.541
RPL65,RPL13,PIRE,21.2,3.701
RPL65,RPL13,PIRE,26.4,3.702
RPL65,RPL13,PIRE,28.6,5.28
RPL65,RPL13,PIRE,31.1,6.538
RPL65,RPL14,PIRE,24.9,3.163
RPL65,RPL14,PIRE,24.5,2.051
RPL65,RPL14,PIRE,21,3.556
RPL65,RPL14,PIRE,28.2,3.314
RPL65,RPL14,PIRE,27.2,6.914
RPL65,RPL14,PIRE,29.2,6.241
RPL65,RPL14,PIRE,26.2,3.52
RPL65,RPL14,PIRE,26,4.763
RPL65,RPL14,PIRE,30.2,2.196
RPL65,RPL14,PIRE,30,5.948
RPL65,RPL15,PIRE,24.6,4.536
RPL65,RPL15,PIRE,29.1,2.676
RPL65,RPL15,PIRE,28.6,3.912
RPL65,RPL15,PIRE,29.5,7.871
RPL65,RPL15,PIRE,25.4,2.947
RPL65,RPL15,PIRE,31.4,3.27
RPL65,RPL15,PIRE,32.5,3.776
RPL65,RPL15,PIRE,30,5.271
RPL65,RPL15,PIRE,30.5,4.197
RPL65,RPL15,PIRE,33.9,6.28
RPL93,RPL02,PIRE,9,3.797
RPL93,RPL02,PIRE,7.4,7.414
RPL93,RPL02,PIRE,7.9,9.127
RPL93,RPL02,PIRE,12.6,8.609
RPL93,RPL02,PIRE,13.9,11.054
RPL93,RPL02,PIRE,18.9,8.531
RPL93,RPL02,PIRE,15.7,8.459
RPL93,RPL02,PIRE,19.4,7.978
RPL93,RPL02,PIRE,22.5,9.001
RPL93,RPL02,PRPE,6.3,5.411
RPL93,RPL02,PRPE,11.8,5.328
RPL93,RPL03,PIRE,8.4,1.752
RPL93,RPL03,PIRE,8.2,7.243
RPL93,RPL03,PIRE,9.4,2.917
RPL93,RPL03,PIRE,7.1,4.554
