"","plot","species","plot.rgr"
"1","AC103","PIST",0.0477338975666421
"2","AC103","POGR",0.0108871246643455
"3","AC103","QURU",0.0206320074971484
"4","AC104","PIRE",0.0236311701755776
"5","AC104","PIST",0.0403409175969071
"6","AC104","POGR",0.00826015123867223
"7","AC104","QURU",0.0140807589274275
"8","AC107","ACRU",0.0183944481380347
"9","AC107","PIRE",0.0165399373262564
"10","AC107","PIST",0.0305502581393828
"11","AC107","POGR",0.012682778072154
"12","BF7","ACRU",0.0172077479615768
"13","BF7","PIST",0.01804837248439
"14","BF7","POGR",0.0145607275155907
"15","BF7","QURU",0.0275505030300027
"16","BF8","PIST",0.0337995947384104
"17","BF8","POGR",0.0234014769064294
"18","BF8","QURU",0.0261191934844614
"19","BP36#1","ACRU",0.0287212487184824
"20","BP36#1","PIST",0.0362843868718827
"21","BP36#1","POGR",0.019227812599405
"22","BP36#2","ACRU",0.0256100920694948
"23","BP36#2","PIST",0.0234053750411752
"24","BP36#2","POGR",0.0185336351484777
"25","BP54#1","PIST",0.0484996663762665
"26","BP54#1","POGR",0.0204112741130709
"27","BP54#1","QURU",0.0295512982236262
"28","BP54#2","ACRU",0.0144237817063199
"29","BP54#2","POGR",0.0236622974290136
"30","BP54#2","QURU",0.0251322527608116
"31","BP80#1","POGR",0.0404722256079645
"32","BP80#2","POGR",0.0381955955451267
"33","BP80#3","POGR",0.0358901309942165
"34","BP98#1","ACRU",0.0910527960597236
"35","BP98#1","POGR",0.0797099533842778
"36","BP98#1","QURU",0.0770643021426925
"37","BP98_2","POGR",0.0750233944165492
"38","BP98_2","QURU",0.0782038958656724
"39","BS40E","ACRU",0.0243033379168986
"40","BS40E","BEPA",0.0088297075491754
"41","BS40E","PIRE",0.00585658833684557
"42","BS40E","POGR",0.025344181340656
"43","BS40F","PIRE",0.00466829809960137
"44","BS40F","PIST",0.0108166421869353
"45","BS40F","POGR",0.0137613550387598
"46","BS40X","PIRE",0.00475834078743195
"47","BS40X","PIST",0.015299729949378
"48","BS40X","POGR",0.024731553627236
"49","BS40X","QURU",0.0161548160067512
"50","BS42A","PIRE",0.00599021523918779
"51","BS42A","PIST",0.0100792711887292
"52","BS42B","PIRE",0.00689796388904511
"53","BS42C","PIRE",0.0054374348328045
"54","CP1","ACRU",0.00908083660995988
"55","CP1","FAGR",0.00498696590509745
"56","CP1","QURU",0.0145565402527949
"57","CP2","ACSA",0.00894295663661212
"58","CP2","FAGR",0.00555705924192707
"59","CP2","QURU",0.014590725094969
"60","CP3","ACSA",0.00657060990801587
"61","CP3","QURU",0.0162703361384554
"62","DNR1","ACRU",0.0509716791881371
"63","DNR1","PIST",0.0545935790371906
"64","DNR1","POGR",0.0547851976418953
"65","DNR1","QURU",0.0881491686577704
"66","DNR2","ACRU",0.0516730164870497
"67","DNR2","BEPA",0.0527810116732432
"68","DNR2","POGR",0.0557297137212574
"69","DNR2","QURU",0.0586873256732721
"70","DNR3","ACRU",0.0561602288177841
"71","DNR3","BEPA",0.0725153921612271
"72","DNR3","PIST",0.0590181210262193
"73","DNR3","POGR",0.0579428825412302
"74","DNR3","QURU",0.0881199156374169
"75","PSA1","PIRE",0.0199060648091713
"76","PSA1","PIST",0.0192364088978022
"77","PSA1","POGR",0.0303536932382206
"78","PSA1","QURU",0.0601626365462463
"79","PSA2","PIRE",0.0170971885676966
"80","PSA2","POGR",0.0359386398085581
"81","PSA2","QURU",0.0529544768684119
"82","PSA3","PIRE",0.0214274730508313
"83","PSA3","POGR",0.0296484644511176
"84","PSA3","QURU",0.0515566941607145
"85","RP32_1","ACRU",0.00838913696336
"86","RP32_1","PIRE",0.0135544807640731
"87","RP32_1","POGR",0.0237204075315341
"88","RP32_1","QURU",0.0203770864673135
"89","RP32_2","ACRU",0.00922556976431338
"90","RP32_2","PIRE",0.0124151182132799
"91","RP32_2","PIST",0.0117601331655568
"92","RP32_2","POGR",0.0207722722640694
"93","RP32_3","ACRU",0.0102548584913601
"94","RP32_3","PIRE",0.00848694008853474
"95","RP32_3","PIST",0.0182299430755402
"96","RP32_3","POGR",0.0110224120323284
"97","RP47_1","PIRE",0.0135743363394144
"98","RP47_1","QURU",0.011805410789363
"99","RP47_2","PIRE",0.0110067783990805
"100","RP47_2","QURU",0.0120793712237626
"101","RP47_3","PIRE",0.0103330755015304
"102","RP47_3","QURU",0.0117535239208524
"103","RP73_1","PIRE",0.0365407868827595
"104","RP73_2","PIRE",0.0489381798044335
"105","RP73_3","PIRE",0.0392797733811192
"106","RP73_3","PISY",0.0420248949374571
"107","RP97_1","PIBA",0.0597275205800173
"108","RP97_1","PIRE",0.167822996565407
"109","RP97_1","POGR",0.0252864382558214
"110","RP97_2","PIRE",0.126479628655488
"111","RP97_2","PIST",0.0683505316137172
"112","RP97_2","POGR",0.0480635328107985
"113","RP97_3","ACRU",0.0383455179342755
"114","RP97_3","PIRE",0.21139136725573
"115","RP97_3","POGR",0.0174091949051593
