plot,tag,species,azimuth,distance_m,status,dbh18,dbh17,growth5mm
RP32_1,,ACRU,,,I,,9.2,1.128
RP32_2,,ACRU,,,C,,31.5,2.623
RP32_2,,ACRU,,,O,,10.4,
RP32_3,,ACRU,,,I,,15.6,0.979
RP32_3,,ACRU,,,C,,22.9,2.805
CP2,1461,ACSA,140,6,C,39.6,40.2,3.768
CP2,1899,ACSA,320,17.5,C,73.6,76.5,7.463
CP3,1435,ACSA,98,8,O,18.1,17.9,1.257
CP3,1869,ACSA,242,8,O,22,21.3,
BS40E,1953,BEPA,328,17.5,O,22.2,23.7,
BS40E,1956,BEPA,335,11.5,O,28.1,27.3,2.129
DNR2,2054,BEPA,100,16,D,13.5,12.8,
DNR2,2094,BEPA,75,16,C,10.1,10.6,5.014
DNR3,2220,BEPA,305,11.5,C,9.8,10.3,4.509
DNR3,2401,BEPA,100,15,C,9,9.2,8.044
CP1,1477,FAGR,0,12,C,39.2,39.6,
CP1,1010,FAGR,61,18,O,21.6,21.2,1.458
CP1,1488,FAGR,271,17.5,O,13.8,13.8,0.543
CP2,1468,FAGR,88,6.5,C,36.7,36.5,2.718
CP2,1452,FAGR,197,10,O,9.9,9.6,0.497
CP2,1451,FAGR,196,0.5,C,44.4,46.9,0.701
CP2,1453,FAGR,194,9.5,C,38.7,38.4,3.836
CP3,1431,FAGR,132,15,O,13.5,13.7,
CP3,1879,FAGR,280,13,C,25.2,25,
RP97_1,,PIBA,,,D,,25.2,17.65
AC104,1307,PIRE,87,16,O,16,16.7,4.182
AC104,1302,PIRE,101,11,C,28.1,28.5,6.292
AC107,1169,PIRE,320,8,O,14.6,14.6,1.848
AC107,1199,PIRE,228,5,D,35.8,35.4,5.97
AC107,1219,PIRE,137,11,C,35.3,35.2,6.986
BS40E,1918,PIRE,240,10.5,O,11.5,11.2,0.769
BS40E,1920,PIRE,259,4,O,15.5,14.5,1.052
BS40E,1924,PIRE,273,18,C,45.5,44.9,3.332
BS40E,1934,PIRE,150,12.5,C,53,53.7,1.806
BS40E,1942,PIRE,220,15.5,C,43,44.2,2.405
BS40E,1951,PIRE,314,6,O,11.8,11.2,0.504
BS40F,1016,PIRE,44,18,O,10.1,10.2,0.552
BS40F,1020,PIRE,334,17,C,38.7,39.4,2.54
BS40F,1030,PIRE,274,16,O,17.6,16.8,1.167
BS40F,1046,PIRE,215,13,O,28.4,27.5,0.513
BS40F,1064,PIRE,147,5,C,54.1,51.1,2.475
BS40F,1074,PIRE,82,9,C,47.1,45.5,1.462
BS40F,1080,PIRE,29,9.5,C,54.8,54.4,1.996
BS40X,2927,PIRE,225,11,O,21.9,22.6,0.595
BS40X,2935,PIRE,90,18,C,46.9,46.9,1.703
BS40X,2943,PIRE,27,14,C,41.5,42.1,5.894
BS40X,2950,PIRE,286,11.5,O,13.5,13.6,
BS40X,2976,PIRE,208,17.5,O,15.8,15.3,0.359
BS40X,2987,PIRE,140,14,O,25.2,25,0.396
BS40X,2991,PIRE,193,2.5,C,43.7,44.3,1.833
BS42A,296,PIRE,60,15.5,C,27.4,26,3.485
BS42A,366,PIRE,80,18,C,40.5,38.8,2.267
BS42A,756,PIRE,0,14.5,O,16,15.7,0.413
BS42A,866,PIRE,275,9,C,43.7,42.2,1.578
BS42A,980,PIRE,210,18,C,37.4,37.7,2.195
BS42A,2703,PIRE,115,17,C,49.5,49.3,3.198
BS42A,2704,PIRE,115,9,O,11,10.8,0.405
BS42A,2750,PIRE,165,8.5,O,11,10.7,0.631
BS42A,3155,PIRE,240,12,C,47.6,47.1,2.783
BS42B,2726,PIRE,165,16.5,C,44,43.9,1.237
BS42B,2731,PIRE,165,7.5,O,11,10.6,0.467
BS42B,2732,PIRE,70,13,C,33,31.4,0.7
