stand,plot,height,age,species
RPL93,RPL01,10.8,25,PIRE
RPL93,RPL02,11.2,25,PIRE
RPL93,RPL03,9.8,25,PIRE
RPL58,RPL04,19.8,60,PIRE
RPL58,RPL05,21.6,60,PIRE
RPL58,RPL06,21.3,60,PIRE
RPL53,RPL07,21.6,65,PIRE
RPL53,RPL08,22.3,65,PIRE
RPL53,RPL09,22.8,65,PIRE
RPL48,RPL10,21.4,70,PIRE
RPL48,RPL11,21.6,70,PIRE
RPL48,RPL12,22.6,70,PIRE
RPL65,RPL13,19.2,53,PIRE
RPL65,RPL14,18.4,53,PIRE
RPL65,RPL15,19,53,PIRE
BP80,BP80_1,16,38,POGR
BP80,BP80_2,15.8,38,POGR
BP80,BP80_3,15.6,38,POGR
BP98,BP98_1,11,20,POGR
BP98,BP98_2,12,20,POGR
PSA1972,PSA1,18.4,46,POGR
PSA1972,PSA2,18,46,POGR
PSA1972,PSA3,19.4,46,POGR
BF,BF7,17.4,65,POGR
BF,BF8,21.6,65,POGR
BP36,BP36_1,21.4,82,POGR
BP36,BP36_2,22.6,82,POGR
BS42,BS42A,27.2,132,PIRE
BS42,BS42B,26,132,PIRE
BS42,BS42C,27.8,132,PIRE
RP47,RP47_1,20.4,71,PIRE
RP47,RP47_2,19.2,71,PIRE
RP47,RP47_3,18.8,71,PIRE
RP32,RP32_1,23.2,86,PIRE
RP32,RP32_2,23.8,86,PIRE
RP32,RP32_3,24.6,86,PIRE
DNR,DNR1,14.8,30,POGR
DNR,DNR2,15.2,30,POGR
DNR,DNR3,15.8,30,POGR
AC,AC103,23.8,106,POGR
AC,AC104,20,106,POGR
AC,AC107,24,106,POGR
BS40,BS40E,26,78,PIRE
BS40,BS40F,27,78,PIRE
BS40,BS40X,28.4,78,PIRE
RP97,RP97_1,10.2,21,PIRE
RP97,RP97_2,10.6,21,POTR
RP97,RP97_2,12,21,POTR
RP73,RP73_1,15,45,PIRE
RP73,RP73_2,15.8,45,PIRE
RP73,RP73_3,16.2,45,PIRE
CP,CP1,30.4,167,TSCA
CP,CP2,33.6,167,TSCA
CP,CP3,34.6,167,TSCA
BP54,BP54_1,15.8,64,POGR
BP54,BP54_2,14.6,64,POGR
